split,cutoff_ts,n_slices,n_wallets,first_buy_ts,last_buy_ts,combined_net_total_usdc_0s,realized_net_total_usdc_0s,unrealized_mtm_total_usdc_0s,combined_net_total_usdc_5s,realized_net_total_usdc_5s,unrealized_mtm_total_usdc_5s,combined_net_total_usdc_15s,realized_net_total_usdc_15s,unrealized_mtm_total_usdc_15s,combined_net_total_usdc_30s,realized_net_total_usdc_30s,unrealized_mtm_total_usdc_30s,combined_net_total_usdc_60s,realized_net_total_usdc_60s,unrealized_mtm_total_usdc_60s
full_history,,22825,8,2024-08-14 17:04:41+00:00,2026-03-30 00:41:52+00:00,89123.42482867592,85074.4835554856,4048.9412731898556,89710.95824749843,83064.40982957518,6646.548417922792,88964.25329777655,81215.18476525613,7749.068532520324,93349.16465732094,82825.14565722972,10524.019000091761,84782.37446477693,83077.55335867728,1704.8211060996337
train_60_40,2025-10-23T13:05:05+00:00,13694,8,2024-08-14 17:04:41+00:00,2025-10-23 12:51:45+00:00,67561.89761307012,62947.931286775536,4613.966326294115,68936.66656832924,63985.97219925251,4950.694369076264,68896.09215205953,64446.17290354474,4449.9192485144795,70085.52572693168,63868.37056624137,6217.15516069019,67948.18978210146,63144.215912478976,4803.97386962202
test_60_40,2025-10-23T13:05:05+00:00,9131,8,2025-10-23 13:05:05+00:00,2026-03-30 00:41:52+00:00,21561.52721560569,22126.552268709973,-565.0250531042743,20774.291679169146,19078.437630322638,1695.8540488464666,20068.161145717073,16769.01186171135,3299.1492840057745,23263.63893038989,18956.77509098843,4306.863839401534,16834.184682675786,19933.3374461982,-3099.1527635223842
train_70_30,2025-12-24T12:10:01+00:00,15937,8,2024-08-14 17:04:41+00:00,2025-12-24 07:39:37+00:00,80861.83186290064,75384.45571022927,5477.3761526706085,82142.12882107355,76087.40977307514,6054.719047997678,81146.82839269892,75754.53816802033,5392.290224678043,85265.58951921802,77641.40777536876,7624.181743849226,81652.26652181197,75851.9534129378,5800.313108873734
test_70_30,2025-12-24T12:10:01+00:00,6888,8,2025-12-24 12:10:01+00:00,2026-03-30 00:41:52+00:00,8261.592965775391,9690.02784525606,-1428.4348794807613,7568.829426424844,6977.000056499748,591.8293699250432,7817.424905077862,5460.646597235559,2356.7783078421708,8083.575138103539,5183.737881861007,2899.837256242465,3130.1079429654765,7225.599945739469,-4095.492002774078
train_80_19,2026-01-28T23:12:46+00:00,18260,8,2024-08-14 17:04:41+00:00,2026-01-28 23:12:44+00:00,103189.91971796061,85972.28525308687,17217.634464873034,104462.91334318915,84430.2268321697,20032.686511018717,104662.7063458644,82496.25414873289,22166.452197131075,108802.19271702133,84591.08156671087,24211.111150310575,101687.99442424918,84282.0966594997,17405.89776474925
test_80_19,2026-01-28T23:12:46+00:00,4565,8,2026-01-28 23:12:46+00:00,2026-03-30 00:41:52+00:00,-14066.49488928439,-897.8016976012595,-13168.693191683114,-14751.955095690511,-1365.8170025945533,-13386.138093095944,-15698.453048087615,-1281.0693834768076,-14417.3836646108,-15453.028059699926,-1765.9359094810816,-13687.09215021884,-16905.61995947207,-1204.5433008225243,-15701.076658649554
